Model #,Description,lines,orders,total_spend,avg_line_spend
H-3831,"Contractors Broom - 36"", Medium Bristles ",1,1,164.0,164.0
S-17298,"Oil Only Sorbent Pads - 15 x 19"", Heavy 100/carton ",1,1,164.0,164.0
H-1598,"LiftAll&reg; Ratchet Tie Downs - E-Track, 2"" x 16' ",1,1,162.0,162.0
S-4166,"16 x 16 x 16"" Corrugated Boxes 25/bundle ",1,1,162.0,162.0
H-573,Uline Deluxe Strapping Tensioner ,1,1,160.0,160.0
S-6683P,"Economy Bubble Roll - 12"" x 375', 5/16"", Perforated 4 rolls/bundle ",1,1,156.0,156.0
H-242,Industrial Steel Strapping Tensioner ,1,1,153.0,153.0
H-11664,"Uline Hi-Vis Retractable Ratchet Tie-Downs - S-Hook, 2"" x 10', 3,300   lb Capacity ",1,1,150.0,150.0
S-18412,"Microfiber Deluxe Dust Mop Replacement Head - 48"" ",1,1,150.0,150.0
H-1786,Uline Loop Handle Steel Hand Truck - Solid Wheels ,1,1,145.0,145.0
H-2504BLU,"Uline Utility Cart - Standard, 45 x 25 x 33"", Blue ",1,1,145.0,145.0
H-2504R,"Uline Utility Cart - Standard, 45 x 25 x 33"", Red ",1,1,145.0,145.0
H-2504Y,"Uline Utility Cart - Standard, 45 x 25 x 33"", Yellow ",1,1,145.0,145.0
H-2938-72A,"Chrome Wire Shelving Add-On Unit - 24 x 18 x 72"" ",1,1,145.0,145.0
H-351,"Industrial Steel Strapping Sealer - 1/2"" ",1,1,142.0,142.0
S-17295,"Universal Sorbent Rolls - 30"" x 150', Medium ",1,1,138.0,138.0
H-714BL,"Anti-Fatigue Mat - 3/8"" thick, 3 x 15', Black ",1,1,137.0,137.0
S-4911,"25 x 25 x 20"" Corrugated Boxes 10/bundle ",1,1,136.6,136.6
H-540,Uline Industrial Poly Strapping Tensioner ,1,1,132.0,132.0
S-13296,"13 x 10 x 6"" Corrugated Boxes 25/bundle ",1,1,131.0,131.0
H-2456,Pallet Truck Stop ,1,1,126.0,126.0
H-6980,"Adjustable Height Machine Table - 24 x 18 x 30-37"" ",1,1,125.0,125.0
H-8532ORG,Heavy Duty Rolling Z-Rack - Orange ,1,1,125.0,125.0
S-6873,Kleenex&reg; Boutique Facial Tissue 36 boxes/case ,1,1,121.0,121.0
S-23310,"13 x 10 x 6"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",1,1,107.0,107.0
H-1621,"Contractors Broom - 30"", Medium Bristles ",1,1,105.0,105.0
S-17321R,Inventory Control Cones - Red ,1,1,105.0,105.0
S-23220,Kleenex&reg; Deluxe Facial Tissue 27 boxes/case ,1,1,102.0,102.0
S-2210,"40 lb Kraft Paper Roll - 36"" x 900' ",1,1,100.0,100.0
H-3687O,"Uline Trash Can - 32 Gallon, Orange ",1,1,99.0,99.0
S-7839,"Uline Save A Buck Reinforced Kraft Tape - 2.75"" x 450' 10 rolls/case ",1,1,99.0,99.0
