Model #,Description,Ext. Price
H-7661,Swivel Shop Stool with Backrest ,520.0
S-4060,"6 x 4 x 4"" Corrugated Boxes 25/bundle ",499.5
H-384R,Sharpie&reg; Magnum Markers - Red ,494.4
S-2328,"""Invoice Enclosed"" Banner Envelopes - Red, 4 1/2 x 6"" 1,000/carton ",492.0
S-14775,"Foam Cups - 10 oz 1,000/case ",485.0
S-4105,"10 x 10 x 10"" Corrugated Boxes 25/bundle ",462.0
S-10666,"48 x 10 x 10"" Long Corrugated Boxes 20/bundle ",460.0
H-1484,"Uline Pallet Truck - Short Fork, 36 x 27"" ",455.0
S-17297,"Oil Only Sorbent Pads - 15 x 19"", Medium 100/carton ",455.0
H-279,Uline Deluxe Steel Strapping Cart ,450.0
H-1193,"Uline Pallet Truck - Narrow Fork, 48 x 21"" ",445.0
S-4040,"4 x 4 x 4"" Corrugated Boxes 25/bundle ",440.0
S-5150,"Uline Self-Seal White Bubble Mailers #5 - 10 1/2 x 16"" 100/case ",432.0
S-18350,"16 x 16 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",426.0
S-4135,"6 x 6 x 36"" Tall Corrugated Boxes 25/bundle ",395.0
H-3587,"Plastic Shelving - 36 x 24 x 75"" ",395.0
S-3930P,"Economy Bubble Roll - 12"" x 250', 1/2"", Perforated 4 rolls/bundle ",384.0
S-25369,Bounty&reg; Select-A-Size Paper Towels 12 rolls/case ,380.0
H-3657-LAM,"Industrial Packing Table - 48 x 36"", Laminate Top ",370.0
S-16847X,Uline Heavy Utility Gloves - XL ,368.0
S-2599P,"Foam Roll - Perforated, 1/32"", 6"" x 2,000' 12 rolls/bundle ",360.0
S-4218,"24 x 16 x 16"" Corrugated Boxes 10/bundle ",350.4
S-4663,"26 x 16 x 14"" Corrugated Boxes 15/bundle ",348.75
S-6860,"Foam Cups - 12 oz 1,000/case ",345.0
S-4142,"14 x 14 x 14"" Corrugated Boxes 25/bundle ",344.0
H-7668,Big and Tall Work Stool ,335.0
S-2157,"Polyester Strapping Seals - Gripper, 1/2"" 1,000/carton ",324.0
S-5897,"Uline Self-Seal White Bubble CD Mailers - 7 1/4 x 8"" 200/case ",322.0
S-17294,"Universal Sorbent Pads - 15 x 19"", Medium 100/carton ",320.0
H-3248,"Wide Span Storage Rack - Wire Decking, 60 x 36 x 72"" ",306.0
S-13727,"Uline Deluxe Paper Roll Towels - 8"" x 800' 6/case ",300.0
S-16847XX,Uline Heavy Utility Gloves - 2XL ,299.0
S-5736,"Economy Strapping Tape - 1"" x 60 yds 36 rolls/case ",298.8
S-24385L,Gatorade&reg; Single Packs - Lemon-Lime 80/case ,298.0
S-24385ORG,Gatorade&reg; Single Packs - Orange 80/case ,298.0
S-4994,"20 x 14 x 4"" Corrugated Boxes 25/bundle ",294.0
H-2504G,"Uline Utility Cart - Standard, 45 x 25 x 33"", Green ",290.0
H-6863-WOOD,"Industrial Packing Table - 48 x 24"", Composite Wood Top ",290.0
S-18368,"26 x 16 x 16"" Corrugated Boxes 15/bundle ",286.8
S-284,"IBM Style Open End Packing List Envelopes - Clear, 4 3/8 x 9""   1,000/carton ",284.0
S-8363,"Desktop Direct Thermal Labels - 3 x 2"" 700/roll ",276.0
H-7065,"Uline Ratchet Tie-Downs - E-Track, 2"" x 20' ",259.0
S-24148BL,"Pilot&reg; G-2&reg; Gel Pen - Bold Tip, Black ",258.0
S-20661,Uline Antibacterial Hand Soap - 7.5 oz Dispenser ,256.5
S-828,"Steel Strapping Seals - Open, 3/4"" 1,000/carton ",254.0
S-4196,"20 x 14 x 10"" Corrugated Boxes 20/bundle ",247.0
S-12700BL,"Uline Pallet Markers - Chisel-Tip, Black ",246.60000000000002
S-19459FRESH,"Uline Disinfecting Wipes - Fresh Scent, 75 ct ",246.0
H-3155,"Chrome Mobile Shelving - 36 x 24 x 69"" ",245.0
S-3405,Industrial Sweeping Compound - 50 lb Box ,244.0
S-11442Y,"Removable Adhesive Circle Labels - Fluorescent Yellow, 2"" 1,000/roll ",234.0
S-21324W,"Drawstring Trash Liners - 1 Mil, 23-30 Gallon, White 200/carton ",232.0
S-22393,"Uline Economy White Poly Bubble Mailers #1 - 7 1/4 x 12"" 100/case ",232.0
S-4366,"30 x 30 x 30"" Corrugated Boxes 5/bundle ",223.2
S-24385F,Gatorade&reg; Single Packs - Fruit Punch 80/case ,223.0
S-4525,"12 x 12 x 48"" Tall Corrugated Boxes 15/bundle ",222.0
S-12808ALOE,"Purell&reg; Hand Sanitizer - 12 oz, Aloe ",216.0
S-4661,"25 x 16 x 16"" Corrugated Boxes 10/bundle ",212.5
H-3102,"Anti-Fatigue Mat - 5/8"" thick, 2 x 10', Black ",204.0
S-25098,Single-Serve Cappuccino Cups - French Vanilla 24/box ,204.0
S-6869,Scott&reg; Toilet Tissue 80 rolls/case ,204.0
H-531,"High Tensile Steel Strapping Sealer - 3/4"" ",200.0
H-2922T,"Mail Sorter - Steel, 15 Compartment, Tan ",195.0
S-4172,"17 x 17 x 17"" Corrugated Boxes 25/bundle ",192.5
S-22748BL,"Uline Comfort Grip Ballpoint Pen - Medium Tip, Black ",191.4
S-4876,"6 x 6 x 6"" 275 lb Heavy Duty Corrugated Boxes 25/bundle ",190.0
H-6347,Uline Standard Janitor Cart ,190.0
H-8094,Deluxe Heat Gun ,190.0
S-24855,"Uline Disinfectant Spray - Linen Scent, 19 oz Spray Can ",186.0
H-9289,180-Piece Shop Tool Set ,185.0
S-2107,"Uline Stretch Wrap - Blown, 90 gauge, 15"" x 1,500' 4 rolls/case ",184.0
S-512,"Poly Strapping Seals - Open, 1/2"" 1,000/carton ",180.0
S-13677R,Uline Tamper Evident Plastic Truck Seals - Red 100/Pack ,180.0
H-2055,"Uline Loop Handle Steel Hand Truck - 16"" XL Nose Plate, Solid Wheels ",170.0
H-2938-72,"Chrome Wire Shelving Unit - 24 x 18 x 72"" ",169.0
H-3831,"Contractors Broom - 36"", Medium Bristles ",164.0
S-17298,"Oil Only Sorbent Pads - 15 x 19"", Heavy 100/carton ",164.0
H-1598,"LiftAll&reg; Ratchet Tie Downs - E-Track, 2"" x 16' ",162.0
S-16882BL-L,"Uline Gription&reg; Flex Latex Coated Gloves - Black, Large 12   pairs/carton ",162.0
S-4166,"16 x 16 x 16"" Corrugated Boxes 25/bundle ",162.0
S-7217,"Uline Kraft Paper Roll Towels - 8"" x 350' 12 rolls/case ",160.0
H-573,Uline Deluxe Strapping Tensioner ,160.0
S-6683P,"Economy Bubble Roll - 12"" x 375', 5/16"", Perforated 4 rolls/bundle ",156.0
H-242,Industrial Steel Strapping Tensioner ,153.0
S-14266,"10 x 10 x 12"" Corrugated Boxes 25/bundle ",153.0
S-21355,N'Joy Sugar - 20 oz 3/box ,152.5
S-4456,"18 x 18 x 16"" Corrugated Boxes 20/bundle ",152.39999999999998
S-18412,"Microfiber Deluxe Dust Mop Replacement Head - 48"" ",150.0
S-24148R,"Pilot&reg; G-2&reg; Gel Pen - Bold Tip, Red ",150.0
H-11664,"Uline Hi-Vis Retractable Ratchet Tie-Downs - S-Hook, 2"" x 10', 3,300   lb Capacity ",150.0
S-18499,"Uline Paper Plates - 10 1/4"", Heavyweight 250/case ",147.0
H-2504Y,"Uline Utility Cart - Standard, 45 x 25 x 33"", Yellow ",145.0
H-2504BLU,"Uline Utility Cart - Standard, 45 x 25 x 33"", Blue ",145.0
